Source,Target,SourceYear,TargetYear,Book,Lot
Roxburghe (1812),Frederick Perkins (1889),1812,1889,422,3241
Jeffreys (Undated),Macro (Undated),,,416,
Mr. Mark Cephas Tutet (Undated),J.B.Inglis (1826),,1826,417,
J.B.Inglis (1826),B.H. Bright (1845),1826,1845,417,1498
ordonstoun (Undated),J.D.Gardner (1854),,1854,428,
Jones (1918),Clawson (1926),1918,1926,425,693
Britwell (1919),Clawson (1926),1919,1926,428,51
Macro (Undated),Heber (1836),,1836,416,
Hoe (1912),Huntington (1918),1912,1918,423,1925
Henkels Miscellany (1919),Clawson (1926),1919,1926,430,166
B.H. Bright (1845),Corser (1871),1845,1871,417,5758
Britwell (1921),Clawson (1926),1921,1926,416,161
Jones (1923),Clawson (1926),1923,1926,429,91
Bridgewater (Undated),Huntington (1918),,1918,427,
Freeling (1836),Corser (1869),1836,1869,425,1254
McKee (1901),Jones (1918),1901,1918,425,2949
Richard Bennett (1898),Ross Winans (Undated),1898,,421,
Hoe (1911),Huntington (1918),1911,1918,424,1537
Devonshire (Undated),Huntington (Undated),,,418,
Kemble (1798),Devonshire (Undated),1798,,418,
Frederick Perkins (1889),Hagen (1918),1889,1918,422,864
Alexander Young (1890),Henkels Miscellany (1919),1890,1919,430,354
Britwell (1922),Clawson (1926),1922,1926,417,685
J.D.Gardner (1854),Britwell (1919),1854,1919,428,855
Archbishop Wrangham (1843),Britwell (1919),1843,1919,426,1093
Heber (1836),Britwell (1921),1836,1921,416,3039
Corser (1871),Britwell (1922),1871,1922,417,373
Freeling (1836),Britwell (1919),1836,1919,429,1250
Corser (1869),McKee (1901),1869,1901,425,416
William Morris (Undated),Richard Bennett (1898),,1898,421,
Bridgewater (Undated),Huntington (1918),,1918,344,
Shakespeare Library (1918),Jones (1919),1918,1919,710,622
Pearson (1914),Viscount Birkenhead (Undated),1914,,708,378
Ross Winans (Undated),Hagen (1918),,1918,707,
I.Baker Holroyd (1907),Hagen (1918),1907,1918,717,455
Hagen (1918),Clawson (1926),1918,1926,718,809
Huntington (1918),Jones (1919),1918,1919,344,595
Reed (1807),Heber (1834),1807,1834,1047,7208
Bridgewater (Undated),Huntington (Undated),,,1034,
Halsey (Undated),Huntington (1918),,1918,1044,
Heber (1834),Forman (1920),1834,1920,1047,2855
Devonshire (Undated),Huntington (1918),,1918,550,
Holgate (1846),Britwell (1921),1846,1921,551,457
Huntington (Undated),English Literature from London (1919),,1919,554,
Jones (1919),Clawson (1926),1919,1926,544,953
Mostyn (1919),Clawson (1926),1919,1926,547,177
Britwell (1921),Clawson (1926),1921,1926,551,112
Kemble (Undated),Devonshire (Undated),,,554,
Locker (Undated),Hoe (1911),,1911,546,
Huntington (1917),Chew (1924),1917,1924,546,238
Kemble (1809),Devonshire (Undated),1809,,543,
Kershaw (1877),Jones (1919),1877,1919,545,774
Jones (1919),Clawson (1926),1919,1926,550,956
R-H.Inglis (1889),McKee (1991),1889,1991,557,
Huntington (1918),Jones (1919),1918,1919,544,462
Devonshire (Undated),Huntington (Undated),,,549,
Roxburghe (1812),Kemble (1814),1812,1814,549,5222
Bridgewater (1802),Devonshire (Undated),1802,,550,129
Huntington (1918),Jones (1919),1918,1919,550,467
Bridgewater (Undated),Huntington (1918),,1918,544,
Kemble (1814),Devonshire (Undated),1814,,549,
Devonshire (Undated),Huntington (Undated),,,543,
Fillingham (1805),Kemble (1809),1805,1809,543,341
Hoe (1911),Huntington (1917),1911,1917,546,1900
Devonshire (Undated),Huntington (Undated),,,554,
Jolley (1844),Holgate (1846),1844,1846,551,826
McKee (1991),W.A. White (Undated),1991,,557,2441
Lefferts (1902),Chew (Undated),1902,,107,150
Holgate (1846),Lefferts (1902),1846,1902,107,85
Herber (1804),Britwell (1925),1804,1925,86-104,2476
Bridgewater (Undated),Huntington (1918),,1918,108,
Huntington (1918),Clawson (1926),1918,1926,108,52
Chew (Undated),Huntington (1919),,1919,107,
Devonshire (Undated),Huntington (Undated),,,85,
Hoe (1912),Hagen (1918),1912,1918,79,549
Kemble (1798),Devonshire (Undated),1798,,80,
Kemble (1800),Devonshire (Undated),1800,,85,
Lamport Hall (1893),Britwell (1923),1893,1923,83,
Devonshire (Undated),Huntington (Undated),,,80,
Huntington (Undated),Jones (1923),,1923,634,
Hagen (1918),Clawson (1926),1918,1926,639,778
G.Walter Steeves (Undated),Jones (1919),,1919,641,
Charlemont (1860),Huth (1920),1860,1920,632,67
Heber (1834),Corser (1871),1834,1871,636,1979
Devonshire (Undated),Huntington (Undated),,,638,
Jones (1923),Clawson (1926),1923,1926,634,121
Winans (Undated),Hagen (1918),,1918,639,
Bridgewater (Undated),Huntington (1918),,1918,643,
Bridgewater (Undated),Huntington (1918),,1918,644,
Knight (1847),Tite (1874),1847,1874,631,639
Kemble (Undated),Devonshire (Undated),,,634,
Kemble (1804),Devonshire (Undated),1804,,637,
Roxburghe (1812),Heber (1834),1812,1834,636,5351
Britwell (1921),Clawson (1936),1921,1936,636,153
Huntington (1918),Jones (1919),1918,1919,644,314
Devonshire (Undated),Huntington (Undated),,,634,
Devonshire (Undated),Huntington (1917),,1917,637,
Holgate (1845),Britwell (1922),1845,1922,633,
Lefferts (1902),Hagen (1918),1902,1918,635,852
Kemble (1797),Devonshire (Undated),1797,,638,
Tite (1874),Arnold (1901),1874,1901,631,1911
Arnold (1901),Hagen (1918),1901,1918,631,263
Lefferts (1901),Winans (Undated),1901,,639,
Huntington (1918),Clawson (1926),1918,1926,643,534
Charles II (Undated),Charlemont (1860),,1860,632,
Huth (1920),Clawson (1926),1920,1926,632,8270
Corser (1871),Britwell (1921),1871,1921,636,214
Bridgewater (Undated),Huntington (Undated),,,647,
Holgate (1846),Kershaw (1877),1846,1877,656,
Inglis (1826),Holgate (1846),1826,1846,656,64
Locker (Undated),W.A. White (Undated),,,654,
John Burleigh James (Undated),Locker (Undated),,,654,
Rowfant (Undated),W.A. White (Undated),,,655,
Huth (1916),Jones (1919),1916,1919,656,4742
Halsey (Undated),Huntington (1917),,1917,646,
Bridgewater (Undated),Sotheby’s (1893),,1893,659,
Hibbert (1829),Britwell (1924),1829,1924,648,6255
Farmer (1798),Hibbert (1829),1798,1829,648,6152
Sotheby’s (1893),W.A. White (Undated),1893,,659,244
H. Barrett Lennard (Undated),W.A. White (Undated),,,657,
Kershaw (1877),Huth (1916),1877,1916,656,
Bright (1845),Britwell (1923),1845,1923,861,4531
Rhodes (1834),Britwell (1924),1834,1924,862,2412
Saunders (Undated),Britwell (1923),,1923,864,
Rev.Henry White (1824),Saunders (Undated),1824,,864,12587
Bridgewater (Undated),Huntington (1918),,1918,858,
Devonshire (Undated),Huntington (1918),,1918,865,
Hoe (1911),Huntington (Undated),1911,,870,2961
Poor (1909),Huntington (1918),1909,1918,859,927
John Tomlinson (Undated),Lefferts (1902),,1902,859,
Ashburnham (1898),J.T. Adams (1931),1898,1931,855,3337
Lefferts (1902),Poor (1909),1902,1909,859,1179
Huntington (1918),Clawson (1926),1918,1926,701,335
Mostyn (1919),Clawson (1926),1919,1926,706,232
Huntington (1918),Clawson (1926),1918,1926,700,333
Mostyn (1919),Clawson (1926),1919,1926,704,230
Mostyn (1919),Clawson (1926),1919,1926,692,234
Huntington (1918),Clawson (1926),1918,1926,697,334
Halsey (1904),Huntington (1918),1904,1918,700,
Bridgewater (Undated),Huntington (1918),,1918,701,
Dent (1827),Britwell (1922),1827,1922,705,1143
Hoe (1912),Hagen (1918),1912,1918,696-1,2195
Kemble (Undated),Devonshire (Undated),,,698,
Wright (1787),Kemble (1798),1787,1798,696-2,1850
Jones (1923),Clawson (1926),1923,1926,693,136
Mostyn (1919),Clawson (1926),1919,1926,694,231
Hoe (1912),Huntington (1918),1912,1918,697,309
Devonshire (Undated),Huntington (Undated),,,698,
Wright (1787),Kemble (Undated),1787,,698,1850
Mostyn (1919),Clawson (1926),1919,1926,703,241
Devonshire (Undated),Huntington (Undated),,,696-2,
Kemble (1798),Devonshire (Undated),1798,,696-2,
Bridgewater (Undated),Huntington (1918),,1918,695,
Huntington (1918),Clawson (1926),1918,1926,695,583
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.41a,
Sotheby’s (1882),Alfred Morrison (1919),1882,1919,MS.103a,4
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.41b,
Sotheby’s (1882),Alfred Morrison (1919),1882,1919,MS.104a,12
Blandford (1819),Britwell (1919),1819,1919,App.2,Lot 1151
Britwell (1854),Aldenham (1937),1854,1937,App.5,Lot 241
Alexander Dalrymple (1809),Heber (1835),1809,1835,App.9,
Heber (1835),Lowther Castle (1937),1835,1937,App.9,Lot 2808
Utterson (1852),Britwell (1854),1852,1854,App.5,Lot 1137
Gaisford (1890),Aldenham (1937),1890,1937,App.3,Lot 1367
Chalmers (1842),Utterson (1852),1842,1852,App.5,Lot  1484
John Baynes (Undated),Richard Gough (1810),,1810,595,
Richard Gough (1810),Heber (1834),1810,1834,595,2236
Heber (1834),Britwell (1924),1834,1924,595,1391
Pembroke (1914),Huntington (Undated),1914,,594,125
Huth (1911),Cox (1923),1911,1923,57,805
Cox (1923),Clawson (1926),1923,1926,57,14312
Bishop Daly (1858),Bishop Gott (1908),1858,1908,63,168
Forman (1920),Jones (1923),1920,1923,67,780
Bishop White Kennett (Undated),George Stokes (Undated),,,67,
George Stokes (Undated),Forman (1920),,1920,67,
Jones (1923),Clawson (1926),1923,1926,67,174
Bishop Gott (1908),Hagen (1918),1908,1918,63,23
Duke of Leeds (1896),Hagen (1918),1896,1918,54,170
Kemble (1814),Devonshire (Undated),1814,,121,
William Cowan (1908),P.M.Pittar (1918),1908,1918,114,446
P.M.Pittar (1918),Sotheby’s (1919),1918,1919,114,174
Roxburghe (1812),Kemble (1814),1812,1814,121,4542
Devonshire (Undated),Huntington (Undated),,,121,
R.S.Turner (1888),William Cowan (1908),1888,1908,114,734
Jones (1923),Clawson (1926),1923,1926,223,53
Winans (Undated),Jones (1918),,1918,227,
Herber (1835),Britwell (1919),1835,1919,219,996
Bridgewater (Undated),Huntington (1918),,1918,226,
Huntington (1918),Jones (1918),1918,1918,226,89
Huth (1912),Clawson (1926),1912,1926,228,1837
Huntington (1918),Clawson (1926),1918,1926,229,156
McKee (1901),Winans (Undated),1901,,227,2837
Jones (1918),Clawson (1926),1918,1926,227,374
Britwell (1919),Clawson (1926),1919,1926,219,181
Fountaine (1902),Jones (1923),1902,1923,223,157
Hoe (1911),Huntington (1918),1911,1918,229,894
Halsey (Undated),Huntington (1918),,1918,222,
Jeffreys (Undated),Macro (Undated),,,414,
Huth (1918),Clawson (1926),1918,1926,414,6631
Earl of Essex (Undated),Nassau (1824),,1824,405,
Arbury (1920),Clawson (1926),1920,1926,415,131
Duke of Sussex (Undated),Bierstadt (1897),,1897,412,
Wolfreston (1856),Britwell (1922),1856,1922,407,77
Freeling (1836),Corser (1869),1836,1869,413,2084
Jones (1919),Clawson (1926),1919,1926,413,1470
Hoe (1912),Huntington (1917),1912,1917,408,1416
Bridgewater (Undated),Huntington (1918),,1918,411,
Macro (Undated),Heber (1836),,1836,414,
Nassau (1824),Jadis (1828),1824,1828,405,1694
Roxburghe (1812),Hoe (1912),1812,1912,408,4982
Corser (1869),Huth (1918),1869,1918,413,604
Caldecott (1833),Britwell (1924),1833,1924,404,432
Heber (1836),Corser (1870),1836,1870,414,3405
Corser (1870),Huth (1918),1870,1918,414,291
Huth (1918),Jones (1919),1918,1919,413,6880
Jadis (1828),Britwell (1924),1828,1924,405,141
Locker (Undated),Hoe (1912),,1912,475,
Chew (Undated),Huntington (1918),,1918,474,
Hoe (1912),Huntington (1918),1912,1918,481,718
Kemble (1798),Devonshire (Undated),1798,,476,
Tite (1874),Huth (1913),1874,1913,483,1412
Kemble (1798),Devonshire (Undated),1798,,485,
Huntington (1917),Chew (1924),1917,1924,486,218
Kemble (1798),Devonshire (Undated),1798,,488,
Jones (1919),Clawson (1926),1919,1926,487,890
Bridgewater (Undated),Huntington (1918),,1918,484,
Jones (1923),Clawson (1926),1923,1926,483,102
Wolfreston (1856),Tite (1874),1856,1874,483,285
Huntington (Undated),Jones (1923),,1923,483,
Devonshire (Undated),Huntington (Undated),,,485,
Huth (1913),Huntington (Undated),1913,,483,3643
Hoe (1912),Huntington (1918),1912,1918,475,1492
Huntington (Undated),English Literature from London (1919),,1919,488,
Huntington (Undated),English Literature from London (1919),,1919,476,
Devonshire (Undated),Huntington (Undated),,,476,
Arbury (1921),Clawson (1926),1921,1926,480,169
Chew (Undated),Huntington (1918),,1918,487,
Huntington (1918),Clawson (1926),1918,1926,484,253
Huntington (Undated),English Literature from London (1919),,1919,485,
Crawford (Undated),Chew (Undated),,,486,
Chew (Undated),Huntington (1917),,1917,486,
Devonshire (Undated),Huntington (Undated),,,488,
Huntington (1918),Jones (1919),1918,1919,487,431
Locker (Undated),Church estate sale (1916),,1916,1010,
Hoe (1912),Huntington (1918),1912,1918,1017.,3275
Jolley (1844),Hoe (1912),1844,1912,1004,1085
Kemble (1798),Devonshire (Undated),1798,,1005,
Lefferts (1902),Hagen (1918),1902,1918,1006,1310
Heber (1835),Christie-Miller (1924),1835,1924,1011,3659
Ouvry (1882),Locker (Undated),1882,,1010,1568
Lefferts (1902),Hagen (1918),1902,1918,1018,1331
Chalmers (Undated),Britwell (1924),,1924,1007,
Hoe (1912),Huntington (1918),1912,1918,1004,3146
Kemble (1797),Devonshire (Undated),1797,,1009,
Hoe (1912),Jones (1923),1912,1923,1014,3256
Bridgewater (Undated),Huntington (1920),,1920,1016,
Devonshire (Undated),Huntington (Undated),,,1009,
Church estate sale (1916),Huntington (1918),1916,1918,1010,1137
Devonshire (Undated),Huntington (Undated),,,1005,
Hoe (1911),W.K.Bixby (Undated),1911,,880,2928
Corser (1871),Fountaine (1893),1871,1893,883,404
Poor (1909),Huntington (1918),1909,1918,879,934
R.S.Turner (1888),N.Q. Pope (1895),1888,1895,880,2427
N.Q. Pope (1895),Hoe (1911),1895,1911,880,
Kinnearf (1835),Lord Brougham (Undated),1835,,884,1964
Kinnearf (1835),Corser (1871),1835,1871,883,1966
Lord Brougham (Undated),J. Fitchett Marsh (1882),,1882,884,
Pittar (1918),Clawson (1926),1918,1926,881,587
Pittar (1918),Clawson (1926),1918,1926,885,586
Ouvry (1882),Poor (1909),1882,1909,879,1322
Fountaine (1893),Britwell (1919),1893,1919,883,447
Jadis (1828),Kinnearf (1835),1828,1835,883,165
"Edward Copleston, Bishop of Llandaff (1850)",Dillon (1869),1850,1869,MS 108,
Dillon (1869),Alfred Morrison (1919),1869,1919,MS 108,
Dillon (1869),Alfred Morrison (1919),1869,1919,819,488
Upcott (1846),Dillon (1869),1846,1869,MS 112,
Dillon (1869),Alfred Morrison (1919),1869,1919,MS 112,
Heber (1835),Huth (1918),1835,1918,849,3305
Lord Auckland (Undated),Hagen (1918),,1918,844,
Royal Society (1873),Arnold (1901),1873,1901,842,
Hagen (1918),Shakespeare Library (1918),1918,1918,844,1037
Britwell (1922),Seth Terry (1935),1922,1935,850,601
Charles Lilburn (Undated),Hagen (1919),,1919,852,
F.P. Hodges (Undated),Charles Lilburn (Undated),,,852,
Arnold (1901),Hagen (1918),1901,1918,842,295
Kershaw (1877),Huth (1918),1877,1918,144,249
Baron Bolland (1840),Sewall (1896),1840,1896,143,
Sewall (1896),White (Undated),1896,,143,692
he Henry Chandos Pole Gell (1904),Jones (1918),1904,1918,137,74
Perkins (1889),Sotheby’s (1893),1889,1893,142,408
Huth (1912),W.A. White (Undated),1912,,147,1475
Wolfreston (1856),Forman (1920),1856,1920,146,240
Hoe (1912),Huntington (1918),1912,1918,139,2387
Pembroke (1914),Huntington (Undated),1914,,141,50
British Museum (1788),Baron Bolland (1840),1788,1840,143,
Bridgewater (Undated),Huntington (1918),,1918,138,
Halsey (Undated),Huntington (1918),,1918,135,
Bridgewater (Undated),Heber (1834),,1834,142,
Sotheby’s (1893),W.A. White (Undated),1893,,142,55
Heber (1834),Perkins (1889),1834,1889,142,1192
J.G. Rebow (Undated),C.G Milnes Gaskell (1924),,1924,1056,
Lefferts (1902),Hagen (1918),1902,1918,1054,471
Heber (1834),Lefferts (1902),1834,1902,1055,6331
Holgate (1846),Britwell (1921),1846,1921,1060,1020
Heber (1836),Britwell (1924),1836,1924,1064,2946
Lefferts (1902),Hagen (1918),1902,1918,1055,1382
Daniel (1864),Huth (1919),1864,1919,1059,1739
Huth (1919),Clawson (1926),1919,1926,1059,7917
McKee (1901),Chew (Undated),1901,,1062,3226
James Wylie Guild (Undated),Bierstadt (1897),,1897,1054,
Heber (1836),Britwell (1924),1836,1924,1064,2946
Fillingham (1805),Heber (1836),1805,1836,1064,489
Bierstadt (1897),Lefferts (1902),1897,1902,1054,2281
Fillingham (1805),Heber (1836),1805,1836,1064,489
Chew (Undated),Huntington (1918),,1918,1062,
William Bayntun of Gray’s Inn (1787),Heber (1834),1787,1834,1055,
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.121,
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.104c,
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.122,
Samuel Prince (Undated),Huth (1911),,1911,74,
Benoit le Court (Undated),E.Ph.Goldschmidt (Undated),,,75,
Huth (1912),Cox (1920),1912,1920,71,793
Hagen (1918),Clawson (1926),1918,1926,73,741
Huth (1911),Cox (1920),1911,1920,74,800
Cox (1920),Leo (1921),1920,1921,71,2394
Cox (1920),Leo (1921),1920,1921,72,2394
Huntington (Undated),Jones (1919),,1919,68,
Webster (1893),Hoe (1912),1893,1912,68,731
Hoe (1912),Huntington (Undated),1912,,68,3218
Lefferts (1902),Hagen (1918),1902,1918,1098,1447
Bridgewater (Undated),Huntington (1918),,1918,1105,
Lefferts (1902),Hagen (1918),1902,1918,1103,1448
Bridgewater (Undated),Huntington (1918),,1918,1104,
Lefferts (1902),Hagen (1918),1902,1918,1100,1450
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.1a,
Kemble (1792),Devonshire (Undated),1792,,1096,
Mostyn (1919),Clawson (1926),1919,1926,1095,359
Lefferts (1902),Hagen (1918),1902,1918,1099,1449
Lefferts (1902),Hagen (1918),1902,1918,1102,1451
Devonshire (Undated),Huntington (Undated),,,1096,
Fountaine (1902),Jones (1919),1902,1919,1101,938
Arbury (1920),Smith (1920),1920,1920,1094,33
Huntington (Undated),English Literature from London (1919),,1919,450,
Chew (Undated),Huntington (Undated),,,450,
Britwell (1923),Clawson (1926),1923,1926,446,337
Joseph Lilly (1860),Huth (1913),1860,1913,452,
Roxburghe (1812),J.M.Rice (1834),1812,1834,455,3270
Pearson (1788),George Mason (1799),1788,1799,455,2147
George Mason (1799),Roxburghe (1812),1799,1812,455,275
J.M.Rice (1834),Britwell (1922),1834,1922,455,806
Chalmers (1842),Britwell (1919),1842,1919,451,180
A.H.Joline (Undated),Mark P. Robinson (1918),,1918,447,
Britwell (1919),Jones (1923),1919,1923,451,4
Britwell (1925),Sotheby’s (1936),1925,1936,449A,353
E.M.Cox (Undated),Clawson (1926),,1926,452,2845
Huth (1913),E.M.Cox (Undated),1913,,452,3508
Poor (1908),Huntington (1918),1908,1918,449,536
Harding and Lepard (1838),Britwell (1923),1838,1923,446,
Heber (1834),Holgate (1846),1834,1846,761-1,4100
Jones (1919),Clawson (1926),1919,1926,766,1246
Devonshire (Undated),Huntington (1918),,1918,759,
Corser (1870),Britwell (1922),1870,1922,765,564
Kemble (1797),Devonshire (Undated),1797,,759,
Holgate (1846),Knight (1860),1846,1860,761-1,290
Kemble (1797),Devonshire (Undated),1797,,756,
Heber (1834),Corser (1870),1834,1870,765,4105
Huntington (1918),Jones (1919),1918,1919,752,351
Jones (1923),Clawson (1926),1923,1926,762,138
Devonshire (Undated),Huntington (1918),,1918,756,
Bridgewater (Undated),Huntington (1918),,1918,752,
Lamport Hall (Undated),Britwell (1919),,1919,763,
Huntington (1917),Jones (1919),1917,1919,766,307
Hoe (1912),Huntington (1917),1912,1917,766,2528
Britwell (1919),Jones (1923),1919,1923,762,64
Heber (1836),Britwell (1919),1836,1919,762,1786
Kemble (1797),Devonshire (Undated),1797,,753,
Devonshire (Undated),Huntington (1918),,1918,753,
Devonshire (Undated),Huntington (Undated),,,685,
Devonshire (Undated),Huntington (Undated),,,684,
Kemble (1797),Devonshire (Undated),1797,,684,
Hoe (1912),Huntington (1918),1912,1918,688,2220
Jadis (1828),Britwell (1924),1828,1924,689,51
Hibbert (1829),Britwell (1920),1829,1920,690,325
Hagen (1918),Clawson (1926),1918,1926,686,759
Kemble (1797),Devonshire (Undated),1797,,685,
Mostyn (1919),Chew (1924),1919,1924,681,218
Huntington (1918),Clawson (1926),1918,1926,678,322
Kemble (1798),Devonshire (Undated),1798,,687,
Devonshire (Undated),Huntington (Undated),,,687,
Bridgewater (Undated),Huntington (1918),,1918,678,
C.B.Foote (1895),Hagen (1918),1895,1918,627,191
Sotheby’s (Undated),J.T. Adams (1931),,1931,619,
Lamport Hall (Undated),Britwell (1922),,1922,617,
Jolley (1844),Britwell (1921),1844,1921,616,655
Devonshire (Undated),Huntington (Undated),,,624,
Kemble (1798),Devonshire (Undated),1798,,624,
Britwell (1921),Clawson (1926),1921,1926,616,145
British Museum (1787),Edwin Freshfield (1933),1787,1933,622,
Kemble (1798),Devonshire (Undated),1798,,628,
Devonshire (Undated),Huntington (1918),,1918,628,
Richard Wright (1787),Kemble (1798),1787,1798,624,1657
Marsden J. Perry (Undated),Jones (1923),,1923,623,
Jones (1923),Clawson (1926),1923,1926,623,114
Hoe (1912),Chew (1924),1912,1924,1089,3281
Hoe (1912),Vickery (1933),1912,1933,1087,3280
James Crossley (Undated),Chew (Undated),,,1081,
Chew (Undated),Huntington (1918),,1918,1092,
Narcissus Luttrell (Undated),Farmer (1798),,1798,1081,
Bindley (1820),Heber (1834),1820,1834,1081,408
Bridgewater (Undated),Huntington (1918),,1918,1088,
Heber (1834),Britwell (1924),1834,1924,1084,2936
Heber (1834),Britwell (1924),1834,1924,1083,2936
W.T. Wallace (1920),Clawson (1926),1920,1926,1080,1542
Jones (1919),Clawson (1926),1919,1926,1085,1668
Heber (1834),Sir Mark Dalrymple (1937),1834,1937,1081,3027
Farmer (1798),Bindley (1820),1798,1820,1081,7377
John Scott (1905),Hoe (1912),1905,1912,1087,886
Hoe (1912),Chew (1924),1912,1924,1091-1,3283
Chew (Undated),Huntington (1918),,1918,1081,
Sir William Tite (1870),Alfred Morrison (1919),1870,1919,MS. 1c,3532
Sotheby’s (1890),Alfred Morrison (1919),1890,1919,MS.1p,41
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.1q,
Fairfax Papers (1852),Alfred Morrison (1919),1852,1919,MS.1m,1287
John Young (1869),Alfred Morrison (1919),1869,1919,MS.1f,67
Fairfax Papers (1852),Alfred Morrison (1919),1852,1919,MS.1l,1282
John Young (1869),Alfred Morrison (1919),1869,1919,MS.1e,66
William Upcott (1846),John Young (1869),1846,1869,MS.1e,432
Heber (1834),Cole (1837),1834,1837,732,1568
Corser (1870),Huth (1916),1870,1916,730,516
Pembroke (1914),Huntington (Undated),1914,,729,140
Huntington (1917),Jones (1919),1917,1919,731,285
Shipperdson (Undated),Chew (Undated),,,735,
Lefferts (1902),Hagen (1918),1902,1918,723,957
Cole (1837),Britwell (1924),1837,1924,732,
Heber (1836),Britwell (1923),1836,1923,734,1542
Heber (1834),Britwell (1924),1834,1924,733,1570
Heber (1834),Britwell (1923),1834,1923,736,1573
Chew (Undated),Huntington (1917),,1917,735,
Hoe (1912),C.L.F. Robinson (1917),1912,1917,727,2268
Huth (1916),Ross Winans (1919),1916,1919,730,s01§
Major Thomas Pearson (1788),Heber (1834),1788,1834,733,
Lefferts (1902),Hagen (1918),1902,1918,340,491
Hoe (1912),Huntington (1918),1912,1918,341,1145
Beckford (1882),Hoe (1912),1882,1912,341,2675
Lefferts (1902),Hagen (1918),1902,1918,330,474
Chew (Undated),Huntington (1918),,1918,337,
Huth (1912),Hagen (1918),1912,1918,338,2513
Midgeley|Midgeley (1818),Chalmers (1842),1818,1842,979,
Park (1815),Midgeley|Midgeley (1818),1815,1818,979,344
Nassau (1824),Heber (1834),1824,1834,MS.116,1141
Heber (1834),Britwell (1919),1834,1919,975,2636
Hoe (1912),Hagen (1918),1912,1918,977,3121
Heber (1834),Britwell (1923),1834,1923,981,2543
Mostyn (1919),Clawson (1926),1919,1926,987,326
Heber (1834),Britwell (1924),1834,1924,MS.116,2632
Roxburghe (1812),Sykes (1824),1812,1824,975,3329
Chalmers (1842),Britwell (1919),1842,1919,979,1115
Heber (1834),Britwell (1922),1834,1922,982,2721
Farmer (Undated),Reed (1807),,1807,981,
Sykes (1824),Heber (1834),1824,1834,975,509
Reed (1807),Heber (1834),1807,1834,981,7673
Roxburghe (1812),Heber (1834),1812,1834,435,6654
J[ohn?]. Baynest (Undated),Joseph Ritson (1803),,1803,440,
Lamport (Undated),Britwell (1922),,1922,444,
Hanmer ~ Bunbury (1896),Shakespeare Library (1918),1896,1918,442,s42
Hibbert (1829),Bright (1845),1829,1845,440,3577
Midgely (1818),Hibbert (1829),1818,1829,440,294
Steevens (1800),Roxburghe (1812),1800,1812,435,882
Henry St. John Mildmay (1907),Clawson (1926),1907,1926,433,229
Britwell (1922),Clawson (1926),1922,1926,431,333
Freeling (1836),Britwell (1923),1836,1923,432,1279
Freeling (1836),Britwell (1919),1836,1919,435,1267
Britwell (1919),Clawson (1926),1919,1926,435,45
Heber (1834),Freeling (1836),1834,1836,435,934
Joseph Ritson (1803),Hill (Undated),1803,,440,426
Britwell (1923),Clawson (1926),1923,1926,440,329
Mostyn (1919),Clawson (1926),1919,1926,434,139
Luttrell (1786),J[ohn?]. Baynest (Undated),1786,,440,23
Mostyn (1919),Clawson (1926),1919,1926,439,141
Britwell (1923),Clawson (1926),1923,1926,432,322
Sykes (1824),Freeling (1836),1824,1836,432,1340
Arbury (1920),G.D.Smith (1920),1920,1920,437,45
Utterson (1852),Britwell (1919),1852,1919,436,800
Bright (1845),Britwell (1923),1845,1923,440,1542
Hill (Undated),Midgely (1818),,1818,440,315
Freeling (1836),Britwell (1922),1836,1922,431,1260
Pickering (Undated),Huth (1913),,1913,391,
Bridgewater (Undated),Huntington (1918),,1918,392,
Roxburghe (1812),Heber (1834),1812,1834,396,294
Heber (1834),Britwell (1924),1834,1924,399,771
Steevens (1800),Forster (1806),1800,1806,399,869
Mallet (1766),Steevens (1800),1766,1800,399,795
Hibbert (1829),Britwell (1924),1829,1924,398,6126
M.J.Perry (Undated),Jones (1923),,1923,388,
Bridgewater (Undated),Huntington (Undated),,,395,
Browsholme (Undated),Eshton Hall (1916),,1916,390,
Eshton Hall (1916),Huntington (1918),1916,1918,390,269
Huth (1913),Cox (Undated),1913,,391,3088
Heber (1834),Britwell (1922),1834,1922,396,3221
Mostyn (1919),Clawson (1926),1919,1926,397,124
Forster (1806),Heber (1834),1806,1834,399,919
Jones (1923),Clawson (1926),1923,1926,388,82
Huntington (Undated),Jones (1923),,1923,395,
Frederick Perkins (1889),McKee (1901),1889,1901,372-2,748
Devonshire (Undated),Huntington (1918),,1918,362A,
Mostyn (1919),Clawson (1926),1919,1926,364,108
Kemble (1798),Devonshire (Undated),1798,,365,
Halsey (Undated),Huntington (1917),,1917,370,
Herber (Undated),Forster (1806),,1806,363,
Forster (1806),Heber (1834),1806,1834,363,682
Arbury (1920),G.D.Smith (1920),1920,1920,372-1,113
Hagen (1918),Clawson (1926),1918,1926,371,527
Am. Art Assoc. (1926),Seth Terry (1935),1926,1935,362,159
Devonshire (Undated),Huntington (1918),,1918,365,
Kemble (1798),Devonshire (Undated),1798,,367,
Mostyn (1919),Clawson (1926),1919,1926,368,111
