Source,Target,Type,Avg Date,Start Date,End Date,Transcription,Book Certainty,Date Certainty,Person Certainty
Henry Bourchier,Julius AXI,Undirected,1621,1621,1621,"Henry Bourchier, 1621 (2.81)",True,True,True
Patrick Young,Vespasian BXIX,Undirected,1616,1615,1617,Patrick Young,True,True,True
Arthur Agarde,Tiberius AXIII,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Simonds D’Ewes,Julius EVIII,Undirected,1626,1626,1626,"Simonds D’Ewes asked to borrow either (1) this manu- script, Nero D.VIII or Otho D.I, or (2) Cleo. D.IV, 1626 (82.24).",True,True,True
George Buc,Julius BIV,Undirected,1611,1611,1611,"George Buc, ? 1611 (62.2: ? this)",True,True,True
John Selden,Tiberius AI,Undirected,1638,1637,1639,John Selden,False,True,True
Bulstrode Whitelocke,Galba CVI,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
Francis Tate|John Dodderidge,Domitian VIII,Undirected,1616,,1616,"Francis Tate, by 1616, and John Dodderidge, 1621 (2.59: ? this",False,True,True
Augustine Lindsell,Titus DXI,Undirected,1621,1621,1621,Augustine Lindsell,False,True,True
William Camden,Augustus I,Undirected,1606,1606,1606,William Camden,True,True,True
Arthur Agarde,Cleopatra AXII,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
John Dodderidge,Augustus I,Undirected,1609,1608,1610,"John Dodderidge, ? c.1609 (Jul. C.IH, fol. 152",True,False,True
John Selden,Faustina AV,Undirected,1641,1641,1641,John Selden,True,True,True
Henry Spelman,Vitellius CX,Undirected,1617,1617,1617,Henry Spelman,False,True,True
Mr Walters,Titus BIII,Undirected,1616,1615,1617,"(? of fols 239-50, art. 69) ‘Mr Walters’, c.1616 (103.3).",True,True,True
Thomas Coventry,London British Library Additional MS 46410,Undirected,1622,1622,1622,Thomas Coventry,True,True,True
Richard Cecil,Caligula BIV,Undirected,1604,1604,,"Richard Cecil, after Christmas 1604 (129.3: fols 232-35y, art. 9, of this or Calig. D.I)",False,True,True
Scipio Le Squyer,Vitellius DIX,Undirected,1631,,1631,"Scipio Le Squyer,",True,True,True
Bulstrode Whitelocke,Nero BIII,Undirected,1653,1653,1653,Bulstrode Whitelocke,True,True,True
John Selden,Otho BXIII,Undirected,1621,1621,1621,John Selden,True,True,True
John Selden,Claudius EI,Undirected,1638,1637,1639,"Selden, c.1638 (163.22: this, Nero C.IX or E.VI).",False,True,True
John Selden,Titus EVII,Undirected,1640,1639,1641,John Selden,True,True,True
Richard Montague,Claudius BVI,Undirected,1620,1619,1621,Richard Montague,False,True,True
John Selden,Tiberius AIX,Undirected,unknown date,,,John Selden,True,True,True
John Barkham,Tiberius BVII,Undirected,1621,1621,1621,"John Barkham, 1621 (2.76: ? this + CUL, Add. MS 3578, or Tib. A.TX).",False,True,True
Henry Howard,Cleopatra BXII,Undirected,1612,1611,1613,"Henry Howard, c.1612 (21.6: ? this or ? Cleo. E.1).",False,True,True
Robert Bowyer,Tiberius CVII,Undirected,1612,1611,1613,Robert Bowyer,True,True,True
Patrick Young,Tiberius EIV,Undirected,1616,1615,1617,Patrick Young,True,True,True
John Selden,Titus EIX,Undirected,1640,1639,1641,"John Selden, ¢.1640 (209.3).",True,True,True
William Watts,Otho EVI,Undirected,1631,,1631,William Watts,True,True,True
Mr Morgan,Otho BXIV,Undirected,1616,1616,1616,"‘Mr Morgan’, 1616 (109.2)",True,True,True
Spencer Compton,Faustina BII,Undirected,1639,1639,1639,"Spencer Compton, 1639 (164.1)",True,True,True
John Selden,Vespasian BXIX,Undirected,1640,1640,1640,"John Selden, 1640 (194.1).",True,True,True
James Ussher,Vespasian AIX,Undirected,1611,1610,1612,"(of fols 76-121, art. 3) James Ussher, c.1610-12 (41.3)",True,True,True
James I,Tiberius AII,Undirected,1616,1615,1617,"? James I, ¢.1615-17 (93.1).",True,True,False
William Dugdale,Titus AI,Undirected,1656,1656,1656,"William Dugdale, 1656 (Appx XLVI, fol. 1v).",True,True,True
Richard Bancroft,Claudius BII,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of John Pory (29.10: this or Vit. E.XI, Vesp. F.XIII, Tit. D.XI or Faust. B.I)",False,True,True
John Selden,Nero DII,Undirected,1653,1653,1653,"John Selden, 1653 (237.2).",True,True,True
Thomas Shirley,Claudius CIII,Undirected,1631,,1631,"Thomas Shirley, by 1631 (113.21)",True,True,True
Nicholas Gilborne,Julius FIII,Undirected,1611,,1611,"Nicholas Gilborne, by 1611 (56.5: ? this)",True,True,True
Bulstrode Whitelocke,Galba CIII,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.13)",True,True,True
Robert Cecil,Vespasian CII,Undirected,1608,1605,1612,"(of fols 23-248, artt. 3-42, fols 202-90, artt. 50-82, ? fols 379-99, artt. 105-18) Robert Cecil, by the hand of Thomas Wilson, c.1605-12 (12.3)",True,True,True
John Selden,Cleopatra DI,Undirected,1641,1641,1641,"Selden, 1641 (215.1)",True,True,True
John Selden,Otho EIX,Undirected,1621,1621,1621,"John Selden,",False,True,True
Bulstrode Whitelocke,Galba DXI,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
Arthur Agarde,Domitian III,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Francis Tate,Vespasian DXXI,Undirected,1614,1612,1616,"(of at least the same folios) Francis Tate, 1612-16 (73.2)",True,True,True
Simonds D’Ewes,Tiberius AXIII,Undirected,1626,1626,1626,"Simonds D’Ewes, 1626 (The Autobiography and Correspondence of Sir Simonds D'Ewes, ed. by J.O. Halliwell, 2 vols (London, 1845), I, p. 299).",True,True,True
Abraham Wheloc,Tiberius CII,Undirected,1640,1640,1640,Abraham Wheloc,True,True,True
Bulstrode Whitelocke,Galba BIV,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.4).",True,True,True
Thomas Smith,Julius CV,Undirected,1690,1690,1690,"Thomas Smith, 1690 (Bodl., MS Smith (SC 15666), p. 193)",True,True,True
Arthur Agarde,Caligula AXIII,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
John Selden,Titus EVIII,Undirected,1640,1639,1641,"John Selden, c.1640 (209.2).",True,True,True
Peter Balle,Vespasian EIII,Undirected,1651,1651,1651,Peter Balle,True,True,True
John Selden,Otho CXIV,Undirected,1622,1621,1623,John Selden,True,True,True
John Selden,Vitellius FXIX,Undirected,1638,1637,1639,John Selden,False,True,True
Henry (or John) Hobart,Titus FIV,Undirected,1613,,1613,"(of Harl. MS 6850, fols 35-63 + perhaps parts of fols 63-85v, art. 10, of this) Henry (or John) Hobart, by 1613 (48.2)",True,True,False
Lord William Howard,Appendix XXXIX,Undirected,1636,1635,1638,"Sir William Howard, 1635 or 1636, ? 1638 (114.2, 124.1: (2) fols 94v-217, art. 11, of this + Appx XLI or (1) Ricobaldus Ferrariensis, Historia imperatorum, for which see loans entries).",False,True,True
Brian Twyne,Claudius DVIII,Undirected,unknown date,,,Brian Twyne,True,False,True
Thomas Howard,Cleopatra FVI,Undirected,1621,1621,1622,"Thomas Howard, 1621-22 (2.114)",True,True,True
John Selden,Galba AX,Undirected,1638,1637,1639,John Selden,True,True,True
William Camden,Caligula EXI,Undirected,1614,1612,1616,William Camden,True,True,True
Richard St George,Caligula AXIII,Undirected,1614,,1614,"Richard St George, by 1614 (15.4: this + Calig. A.XII, or Otho B.XIV)",False,True,True
Lord William Howard,Titus EVIII,Undirected,1640,1640,1640,Sir William Howard,False,True,True
William Le Neve,Augustus II,Undirected,1641,1641,1641,Le Neve,True,True,True
William Noy,Cleopatra FII,Undirected,1631,,1631,"William Noy, by 1631 (113.29: this or Cleo. F.1)",False,True,True
George Buc,Vespasian AXXII,Undirected,1616,1616,1616,"George Buc, 1616 (102.1: this or Claud. E.III or Otho D.VID",False,True,True
William Camden,Galba DXII,Undirected,1614,1612,1616,"William Camden, 1612-16 (75.18: ? this)",True,True,True
Edward Herbert,Vitellius CXI,Undirected,1636,1636,1636,"Edward Herbert, 1636 (116.3 and 118.4: ? fols 211-24, art. 19, of this and / or ? Otho C.X, ? Vit. BXXI, ? C.XVI).",False,True,True
Arthur Agarde,Julius AI,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (71.22)",True,True,True
Augustine Vincent,Claudius DX,Undirected,1621,,1621,"Augustine Vincent, before or in 1621 (Vesp. F.XIII, no. 316: this, Jul. D.II, Vit. A.II or D.X)",False,True,True
James Ussher,Claudius AI,Undirected,1625,1625,1625,James Ussher,True,True,True
Oliver St John,Titus BXII,Undirected,1609,1609,,"Oliver St John, ? 1609 or later (84.1: this or Tit. B-XIID",False,False,True
Richard Bancroft,Vitellius DXV,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of John Pory (29.5)",True,True,True
John Selden,Faustina AIII,Undirected,unknown date,,,"? John Selden (D.M. Barratt, ‘The library of John Selden and its later history’, Bodleian Library Record, 3 (1950-51), 135, 213",True,True,False
Augustine Vincent|John Selden,Julius CIX,Undirected,1621,1621,,"(of fols 25-77, artt. 6~7) Augustine Vincent and John Selden, in or after 1621 (6018, no. 224)",True,True,True
John Selden,Cleopatra EIV,Undirected,1640,1640,1640,John Selden,False,True,True
"‘Mr Hall’, Henry Fanshaw’s servant",Otho DI,Undirected,1621,1621,1622,"‘Mr Hall’, Henry Fanshaw’s servant, 1621-22 (2.105, 4.14)",True,True,True
William Camden,Nero BV,Undirected,1617,1617,1617,William Camden,False,True,True
Inigo Jones,Vespasian BII,Undirected,1631,,1631,Inigo Jones,True,True,True
Richard St George,Caligula AXII,Undirected,1614,,1614,Richard St George,False,True,True
Richard Bancroft,Domitian XI,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
Peter Balle,Cleopatra FI,Undirected,1640,1640,1640,"Peter Balle, 1640 (205.2)",True,True,True
Francis Tate,Cleopatra AXII,Undirected,1612,,1612,Francis Tate,True,True,True
Humfrey Wanley,Tiberius B1,Undirected,1709,1709,1709,"Humfrey Wanley, 1709 (Add. MS 44879, fol. iv",True,True,True
John Selden,Vespasian AXXII,Undirected,1623,1622,1624,John Selden,True,True,True
Humfrey Wanley,Otho BXI,Undirected,1709,1709,1709,"Humfrey Wanley, 1709 (Add. MS 44879, fol. iv",True,True,True
Lord William Howard,Vitellius BII,Undirected,1638,1638,1638,"Sir William Howard,",True,True,True
Samuel Pepys,Vespasian BXXII,Undirected,1694,1694,1694,"Samuel Pepys, 1694 (Cambridge, Magdalene College, Pepys Library, MS 2872, p. 759: pp. 759-93 are a transcript of B.XXII made when Pepys borrowed the latter from John Cotton).",True,True,True
John Selden,Nero CIX,Undirected,1638,1637,1639,"John Selden, c.1638 (162: this, Claud. E.VI or Nero EVD)",False,True,True
Christopher Hatton,Tiberius EV,Undirected,1639,1639,1639,"Christopher Hatton, 1639 (167.1).",True,True,True
St Lo Kniveton,Otho CVIII,Undirected,1621,1621,1621,"St Lo Kniveton, 1621 (2.29).",True,True,True
John Selden,Vitellius EVI,Undirected,1638,1638,1638,"John Selden, 1638 (155.3: this, Jul. B.XIII, Tib. B.XIU, C.III, Nero D.VII, Vit. CX, EV, Dom. I, V, Cleo. D.V or Faust. C.IV).",False,True,True
James I,Vespasian AVIII,Undirected,1616,1615,1617,"? James I, ¢.1615-17 (93.2).",True,True,True
William Dugdale,Cleopatra EIV,Undirected,1654,1654,1654,William Dugdale,True,True,True
Arthur Capell,Titus EXV,Undirected,1666,1666,1667,Arthur Capell,True,True,True
Richard Bancroft|Robert Cecil,Domitian XV,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of Zachariah Pasfeild (29.21: (1) this, Nero A.XV, XVI, Tit. A.I, or (2) Otho E.V)",False,True,True
William Dugdale,Vitellius AI,Undirected,1639,1639,1639,"William Dugdale, 1639 (178.1). Dugdale’s extracts (in Bodl., MS Dugdale 12 (SC 6502), pp. 111-72), made in 1637 from Vit. D.XVIII, provide cross- references to this manuscript.",True,True,True
Basil Brooke,Cleopatra EIV,Undirected,1631,,1631,Basil Brooke,True,True,True
Samuel Ward,Tiberius AXIV,Undirected,1621,1621,1621,"Ward, 1621 (2.41: this or Tib. C.II).",False,True,True
Bulstrode Whitelocke|Robert Cecil,Galba CIV,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.14).",True,True,True
George Carew,Titus BX,Undirected,1618,1617,1619,"? George Carew (d. 1629), c.1618 (Vesp. F.XIII, no. 324: this or Tit. B.XIII. The Vesp. letter is undated but refers to Carew’s service for the king in Ireland about eight years previously. After having served Elizabeth as President of Munster until 1603, he was sent to Ireland only once, in 1610, by James I.",False,True,False
Bulstrode Whitelocke,Galba CX,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.20).",True,True,True
John Selden,Vespasian BXXIII,Undirected,1653,1653,1653,John Selden,True,True,True
John Selden,Titus CV,Undirected,1641,1641,1641,John Selden,True,True,True
,Julius CVIII,Undirected,1614,1614,1614,"Henry Howard, c.1614 (121.7: ? this or ? Tit. C.1)",True,True,True
Thomas Coventry,London British Library Additional MS 33216,Undirected,1631,,1631,Thomas Coventry,False,True,True
Henry Montagu,Titus CI,Undirected,1631,,1631,? Montagu,True,True,False
Christopher Hatton,Vespasian AXIV,Undirected,1639,1639,1639,Christopher Hatton,False,True,True
John Selden,Nero BVIII,Undirected,1621,1621,1621,John Selden,True,True,True
Edward Herbert,Faustina EVII,Undirected,1636,1636,1636,"(of at least fols 1-15v, art. 1) Edward Herbert, 1636 (117.5 and 119.5).",True,True,True
Thomas Howard,Augustus I,Undirected,1625,1621,1629,"Thomas Howard, 1621-29 (76.5).",True,True,True
Patrick Young,Otho BVI,Undirected,1616,1615,1617,Patrick Young,True,True,True
Henry Howard,Caligula CIX,Undirected,1604,1604,,"Henry Howard,",False,True,True
Richard Bancroft,Vitellius FIX,Undirected,1608,1608,1608,Richard Bancroft,True,True,True
Richard Perrincheif,Titus AVIII,Undirected,1673,,1673,Richard Perrincheif,True,True,True
Edward Herbert,Caligula DVIII,Undirected,1636,1636,1636,"Edward Herbert, 1636 (117.2 and 119.9).",True,True,True
Henry Spelman,Titus AXXVII,Undirected,1615,1614,1616,"Henry Spelman, c.1615 (46.4: this or Claud. D.I1)",False,True,True
Augustine Vincent,Julius DII,Undirected,1621,,1621,"Augustine Vincent, before or in 1621 (Vesp. F_XIII, no. 316: this, Claud. D.X, Vit. A.II or D.X)",False,True,True
William Le Neve,Claudius BIV,Undirected,1641,1641,1641,"William Le Neve, 1641 (220.2)",True,True,True
William Camden,Vespasian AXIII,Undirected,1623,,1623,"William Camden,",False,True,True
John Selden,Titus EII,Undirected,1638,1637,1639,"John Selden, c.1638 (163.24).",True,True,True
John Selden,Julius EIII,Undirected,1621,1621,1621,"John Selden, 1621 (2.75).",True,True,True
John Selden,Tiberius BXIII,Undirected,1638,1638,1638,"John Selden, 1638 (155.3: this, Jul. BXIII, Tib. C.III, Nero D.VIII, Vit. C.X, EV, VII, Dom. I, V, Cleo. D.V or Faust. C.IV).",False,True,True
Povey,Tiberius CV,Undirected,1631,,1631,"Povey, by 1631 (113.24: ? this. The words ‘some other things’ in the description in 113.24 (*...manye treatises of Roger Bacon and some other things. . ”) do not entirely fit the cartulary material, art. 4, in the manuscript. When artt. 1-3 were in Dee's possession they were bound in with four further articles, since lost: see Roberts & Watson, Dee, M26. It is therefore possible that the whole of Dee's original volume came to Cotton but that the missing articles were removed - perhaps at the time of the loan to Povey or by Povey himself - to be replaced by Povey’s gift of the cartulary leaves.)",False,True,True
Patrick Young,Nero AVII,Undirected,1616,1615,1617,"Patrick Young, c.1616 (49.4)",True,True,True
Arthur Agarde,Julius DVI,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (71.25, 77.17: ? this)",True,True,True
John Selden,Cleopatra FIII,Undirected,1638,1637,1639,"John Selden, €.1638 (163.1).",True,True,True
Edward Herbert,Caligula EIV,Undirected,1636,1636,1636,"of part of this + D.XII) Edward Herbert, 1636 (117.3 and 119.7).",True,True,True
Henry Howard,Tiberius CVII,Undirected,1612,1611,1613,"Henry Howard, ¢.1612 (21.11, 52.6: this or Claud. E.III)",False,True,True
Arthur Agarde,Faustina BV,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
James Ussher,Vespasian DVI,Undirected,1641,1641,1641,"? James Ussher, 1641 (221.2)",True,True,False
James Ussher,Titus AII,Undirected,1625,1625,1625,James Ussher,True,True,True
Lord William Howard,Claudius DVII,Undirected,1621,1621,1621,"Lord William Howard, 1621 (2.57).",True,True,True
Richard Bancroft,Nero CV,Undirected,1608,1607,1610,"Richard Bancroft, 1607-10, by hand of Zachariah Pasfeild (30.1)",True,True,True
John Harington,Augustus I.II32,Undirected,1611,1610,1612,"John Harington, ¢.1610-12 (43.1: ? including this).",True,True,True
Bulstrode Whitelocke,Galba BIII,Undirected,1652,1652,1652,"Bulstrode Whitelocke,",True,True,True
William Dugdale,Vitellius CVIII,Undirected,1653,1653,1653,William Dugdale,True,True,True
Arthur Agarde,Otho AXVII,Undirected,1613,1612,1615,Agarde,True,True,True
Mr Morgan,Caligula AXII,Undirected,1616,1616,1616,Mr Morgan,True,True,True
Patrick Young,Tiberius CXI,Undirected,1616,1615,1617,Patrick Young,True,True,True
Robert Cecil,Caligula EIV,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, ¢.1605-12 (12.1)",True,True,True
John Hayward,Tiberius CXIII,Undirected,1611,1611,1611,John Hayward,True,False,True
John Selden|Augustine Vincent,Tiberius CVII,Undirected,1621,1621,1621,"John Selden, 1621, and Augustine Vincent (2.68)",True,True,True
Edward Herbert,Caligula DX,Undirected,1636,1636,1636,"(of part of this) Edward Herbert, 1636 (117.4 and 119.6)",True,True,True
Henry Montagu,Otho EX,Undirected,1631,,1631,"Montagu, by 1631 (113.6)",True,True,True
John Selden,Nero CIX,Undirected,1638,1637,1639,Selden,False,True,True
Robert Cecil,Caligula EIII,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, ¢.1605-12 (12.1)",True,True,True
James Ley,Julius EIII,Undirected,1611,1611,1611,"(? of fols 177-210, in art. 1) James Ley, 1611 (61.1)",True,True,True
Oliver St John,Caligula CIII,Undirected,1604,1604,,"(of fols 4-40v, art. 1) Oliver St John, after Christmas 1604 (129.4: ? this)",True,True,True
Arthur Agarde,Otho BXIV,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (18.17: this, Vesp. AXVIII or E.ID)",False,True,True
Francis Fowler,Vespasian CII,Undirected,1615,1615,1615,"(of the same sections) Francis Fowler, c.1613-18 and probably in the summer of 1615 (98.1)",True,True,True
,Tiberius AXIII,Undirected,1614,1612,1615,"Arthur Agarde, 1612-15 (18.12, 71.21",True,True,True
William Camden,Cleopatra DV,Undirected,1606,1606,1606,William Camden,True,True,True
Edward Herbert,Titus DII,Undirected,1636,1636,1636,"Edward Herbert, 1636 (119.10: this or Calig. A-III, Tit. D.IX, Cleo. A.XIV or B.V.)",False,True,True
James Ussher,Cleopatra CVIII,Undirected,1621,1621,1621,"James Ussher, 1621 (2.1).",True,True,True
James Ussher,Vitellius EXVIII,Undirected,1625,1625,1625,"? James Ussher (this is probably one of the psalters in the Gallican version that Ussher borrowed in 1625: Jul. C.III, fol. 383. For his collation, see Bodl., MS Add. A.91 (SC 27719), fol. 111.).",True,True,False
Robert Cecil,Caligula EV,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, c.1605-12 (12.1)",True,True,True
Thomas Smith,Julius FVI,Undirected,1690,1689,1691,"Thomas Smith asked to borrow F-VI in about 1690 (Bodl., MS Smith 59 (SC 15666), p. 196.",True,True,True
Bulstrode Whitelocke,Galba BII,Undirected,1652,1652,1652,,True,True,True
Henry Montagu,Vespasian FIX,Undirected,1631,,1631,"Henry Montagu, by 1631 (113.11: ? fols 175-78v, art 32, of this, but see the editorial comment at 113.11",True,True,True
Bulstrode Whitelocke,Galba DV,Undirected,1652,1652,1652,Bulstrode Whitelocke,False,True,True
William Camden,Vespasian DXXI,Undirected,1606,1606,1606,"(of at least fols 1-40, artt. 1 and 2) William Camden, 1606 (10.18. Cf. Jul. C.III, fol. 61)",True,True,True
Richard Bancroft,Titus DXI,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of John Pory (29.10: this or Claud. B.II, Vit. E.XI, Vesp. F.XIII or Faust. B.I)",False,True,True
Augustine Vincent,Vitellius CVI,Undirected,1621,1621,1621,"Augustine Vincent, 1621 (Vesp. F.XIII, no. 316).",True,True,True
George Allington,Nero DVI,Undirected,1611,,1611,"George Allington, by 1611 (58.3, 60.2)",True,True,True
Lawrence Tanfield,Vitellius EXV,Undirected,1621,1621,1621,"Lawrence Tanfield, 1621 (2.37, 4.25)",True,True,True
John Bernard,Otho AXVII,Undirected,1658,1658,1658,John Bernard,True,True,True
John Lambe,Cleopatra CII,Undirected,1612,,1612,"John Lambe, ? by 1612 (26.2: this, Otho A.XVII, Vesp. A.XXIV, Cleo. C.I or Faust. B.III)",False,True,True
James Ware,Vitellius BVIII,Undirected,1651,1651,1651,"James Ware, 1651 (228.1).",True,True,True
Augustine Vincent,Vitellius FXII,Undirected,1623,1622,1624,"(perhaps of fols 274-393, artt. 14-18) Augustine Vincent, c.1623 (Jul. C.III, fol. 379)",True,True,True
,Galba CI,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.11).",True,True,True
Henry Montagu,Titus CI,Undirected,1631,,1631,"Montagu, by 1631 (113.8)",True,True,True
Richard Bancroft,Julius AXI,Undirected,1608,1608,1608,"Richard Bancroft, by June 1608, by hand of John Pory (29.4)",True,True,True
John Selden,Otho EX,Undirected,1638,1637,1639,"John Selden, ¢.1638 (163.17: ? this).",True,True,True
John Selden,Claudius AXI,Undirected,1638,1637,1639,John Selden,False,True,True
Richard Bancroft,Claudius EVIII,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of Zachariah Pasfeild (29.13). The conflict between the date of this loan and that of Bowyer’s ownership has yet to be resolved: it is possible that the manuscript was temporarily in Cotton's hands in 1608.",True,True,True
James Ussher,Galba AXVIII,Undirected,1646,1646,1647,James Ussher,True,True,True
John Lambe,Cleopatra CI,Undirected,1612,,1612,John Lambe,False,True,True
Edward Herbert,Nero CVIII,Undirected,1638,1637,1639,"‘Mr Attorney’, probably Edward Herbert, c.1638 (161.1)",True,True,True
Mr Lassells of Notinghamshir by Newwark|St Lo Kniveton,Faustina BVII,Undirected,1617,1617,1617,"(of fols 72-136, art 20) ‘Mr Lassells of Notinghamshir by Newwark’ and St Lo Kniveton, 1617 (92.1).",True,True,True
William Greene,Claudius EVII,Undirected,1639,1639,1639,William Greene,True,True,True
John Speed,Titus CX,Undirected,1616,1615,1617,John Speed,True,True,True
Arthur Agarde,Vespasian DX,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (71.24): annotations on fols 1, 5v, 8v, 35, 49 may be by him",True,True,True
Edward Herbert,Titus BI,Undirected,1636,1636,1636,"Edward Herbert, 1636 (116.1 and 118.2",True,True,True
Patrick Young,Faustina BIX,Undirected,1621,1621,1621,"Patrick Young, 1621",True,True,True
James Ussher|William Laud|George Abbot,Faustina BIV,Undirected,1634,1633,1635,James Ussher,False,True,False
Godfrey Wildbore,Cleopatra CI,Undirected,1638,1638,1638,Godfrey Wildbore,False,True,True
John Selden,Titus EVI,Undirected,1640,1640,1640,"John Selden, 1640 (209.15: this or Tit. E.V).",False,True,True
Francis Bacon,Cleopatra FVI,Undirected,1616,1615,1617,"Bacon, ¢.1616 (104.2: ? this, if as is possible the roll listed at 104.2 was cut up and incorporated in F:VI)",True,True,True
John Strype,Titus BII,Undirected,1697,1697,1697,"John Strype, 1697 (BL, Lansdowne MS 814, fol. 24).",True,True,True
William Camden,Vitellius FXII,Undirected,1614,1612,1616,"(of at least fols 2-194, artt. 1-11) Camden, 1612-16 (75.17: ? this)",True,True,True
Richard Bancroft|George Abbot,Cleopatra EII,Undirected,1611,1610,1612,Bancroft,False,True,False
Dudley Carleton,Titus BXIII,Undirected,1631,,1631,Dudley Carleton,False,True,True
Patrick Young|Samuel Ward,Tiberius CII,Undirected,1616,1615,1617,Patrick Young,False,True,True
,Tiberius AX,Undirected,1606,,,"William Camden, 1606 (10.12)",True,True,True
William Camden,Faustina BIV,Undirected,1606,1606,1606,William Camden,False,True,True
Henry Howard,Vitellius CXVII,Undirected,1612,1611,1613,"of parts of fols 339-80, artt. 8, 9) Henry Howard, ¢.1612 (21.9, 52.4",True,True,True
John Lambe,Faustina BIII,Undirected,1612,,1612,"John Lambe, ? by 1612 (26.2: this, Otho A.XVII, Vesp. A-XXIV, Cleo. C.I or II)",False,True,True
,Tiberius AXIII,Undirected,1616,,1616,"William Camden, 1616 or before (111.10)",True,True,True
Henry Spelman,Vespasian AXIV,Undirected,1617,1617,1617,Henry Spelman,True,True,True
John Bradshaw,Faustina AIII,Undirected,1617,1616,1618,"Bradshaw, ¢.1617 (8.1: this or Tit. A.VIID)",False,True,True
James Ussher,Nero EI,Undirected,1611,1610,1612,James Ussher,True,True,True
Patrick Young,Claudius AXI,Undirected,1616,1615,1617,"Patrick Young, ¢.1616 (49.6)",True,True,True
George Calvert,Claudius DIX,Undirected,1616,1616,1616,"George Calvert, 1616 (107.3: this or Claud. E.V).",False,True,True
Basil Brooke,Cleopatra FII,Undirected,1631,,1631,"Basil Brooke, by 1631 (113.27: this, Cleo. E.I-III or F.I)",False,True,True
Godfrey Wildbore,Cleopatra CI,Undirected,1656,1656,1657,Wildbore,True,True,True
William Crashaw,Cleopatra EIII,Undirected,1609,1609,1609,"(? of fols 80-81, art. 43) William Crashaw, 1609 (Jul. C.III, fol. 125)",True,True,True
Robert Bowyer,Titus AVIII,Undirected,1621,1621,1621,Robert Bowyer,False,True,True
John Speed,Otho BV,Undirected,1612,1611,1613,"John Speed, c.1612 (50.5)",True,True,True
Henry Montagu,Claudius AVIII,Undirected,1631,,1631,Henry Montagu,True,True,True
Francis Tate,Vespasian EXI,Undirected,1614,1612,1616,"Tate, 1612-16 (73.6)",True,True,True
Richard Bancroft,Tiberius CXIII,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of Zachariah Pasfeild (9.1)",True,True,True
Richard St George,Vitellius EXVI,Undirected,1614,,1614,Richard St George,False,True,True
Bulstrode Whitelocke,Galba DVII,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.27).",True,True,True
George Calvert,Nero BIII,Undirected,1622,1621,1623,"George Calvert, 1621-23 (4.6",True,True,True
Roger Owen,Vespasian BXIX,Undirected,1611,1611,,Roger Owen,True,True,True
John Selden,Cleopatra DV,Undirected,1638,1638,1638,John Selden,False,True,True
Godfrey Wildbore,Cleopatra CII,Undirected,1638,1638,1638,"Godfrey Wildbore, 1638 (172.1: this or Cleo. C.I)",False,True,True
John Selden,Claudius EI,Undirected,1638,1637,1639,"John Selden, c.1638 (162: this, Nero C.IX or E.V1)",False,True,True
William Dugdale,Cleopatra AIII,Undirected,1640,1640,1640,"William Dugdale, ? 1640 (203.1)",True,True,True
John Selden,Otho EVII,Undirected,1621,1621,1621,John Selden,False,True,True
Richard James,Nero EV,Undirected,1625,1625,,Richard James,True,True,True
Peter Balle,Titus AI,Undirected,1651,1651,1651,Peter Balle,False,True,True
John Selden,Domitian I,Undirected,1638,1638,1638,"John Selden, 1638 (155.3: this, Jul. B.XIII, Tib. B.XIII, C.III, Nero D.VIII, Vit. C.X, EV, VII, Dom. V, Cleo. D.V or Faust. C.IV)",False,True,True
Bulstrode Whitelocke,Vespasian BXXII,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (235.3)",True,True,True
