Id,Label,Note,Subjects,Subjects_Primary,Versification,_description,Macaronic,Author(s),Author confidence,Title(s),Bibliographic Ghosts,Type,n_witnesses
DIMEV 2771,It wern four letters of purpose I / of M and A R and I,,"carols, to Virgin Mary;hymns to Virgin Mary",carols;Virgin Mary,— four-line — aaab,A song in praise of the Virgin Mary — four quatrains (aaab) and burden: ‘M & A & R & I / Syngyn I wyl a newe song’,,,,,,Text,2
DIMEV 2774,Ivy is both fair and green,,"carols, holly and ivy",carols,— seven-line — ababccc,A carol in praise of ivy — five 7-line stanzas (ababccc) including bob and burden: ‘Ivy ys good & glad to se / Iuy is fair in hys degre’,,,,,,Text,1
DIMEV 2792,Jesu as Thou art our savior,,"carols, Nativity",carols,— four-line — aaab,A song to Christ — five quatrains (aaab) and burden: ‘Jhesu jhesu jhesu jhesu / Saf vs alle thorw thi vertu’,,,,,,Text,1
DIMEV 2841,Jesu for thy holy name,Burden based on the first stanza of 2840.,"litanies;carols, of saints",litanies;carols,— six-line — ababcc,"A Litany to Christ, the Virgin Mary, Angels and Saints — nine 6-line stanzas (ababcc) with refrain, ‘And bryng us to that blysse / That neuere shall mysse’, and 4-line burden: ‘Prey we to the trinyte / And to al the holy compane / For to bryng vs to the blys / The wych shal neuer mysse’",,,,"A Litany to Christ, the Virgin Mary, Angels and Saints",,Text,1
DIMEV 2849,Jesu for Thy wounds five,,"carols, political;Christ, wounds of",carols;Christ,— six-line — ababcc,"Pray for Peace (c. 1499) — one stanza (ababcc) with four-line burden: ‘Jhesu for thy mercy endelesse / Saue thy pepill and sende vs pesse (repeated), ten lines in all’",,,,,,Text,1
DIMEV 2883,Jesu of a maid Thou wouldest be born,Stanzas 1 and 4 similar to lines 1-4 of 5079.,"carols, Nativity",carols,— four-line — aabb,A song of Jesus the Saviour — five quatrains (aabb) with ‘Miserere nobis’ refrain and four-line burden: ‘Iesu fili virginis / miserere nobis’ (repeated),Latin,,,,,Text,2
DIMEV 2884,Jesu of His mother was born,,"carols, of the Passion",carols,— four-line — aaab,‘Verbum caro factum est’ — six quatrains (aaab) with ‘He tok his deth for most & lest’ refrain and burden: ‘I may seyn to most & lest / Verbum caro factum est’,,,,‘Verbum caro factum est’,,Text,1
DIMEV 2895,Jesu rested in a may / Forty weeks and a day,,"carols, Nativity",carols,— four-line — aaab,A Christmas carol — three quatrains (aaab) with ‘Nowell ell ell’ refrain and burden: ‘Nowell nowell ell ell / Iwys yt ys a wunder nowell’,,,,,,Text,1
DIMEV 2944,Jesu was born in Bethlehem Iudea / Of maid Mary thus find we,,"carols, Epiphany",carols,— four-line — aaab,A carol for Epiphany — eleven quatrains (aaab) and burden: ‘The sterre hym schon bothe nyght & day / To lede thre kynges ther our lord lay’,,,,,,Text,2
DIMEV 2962,John Clerk of Torrington I dare avow,,"carols, satirical;Clerk, John, of Torrington (Devon)",carols;Clerk,"— four-line, six-line — abab, aabccb","Against John Clerke of Torrington, an English flyting — six cross-rhymed quatrains and a single six-line stanza, with burden: ‘Synge and blow, blow wel blow / Synge wen so Y blow’",,,,,,Text,1
DIMEV 2971,Joseph would have fled fro that maid,,"carols;Joseph, father of Jesus",carols;Joseph,— seven-line — ababbcc,"James Ryman, On the appearance of the Angel to Joseph — six stanzas rhyme royal and burden: ‘Awake joseph awake awake / And to marie thy way thou take’",,James Ryman,,,,Text,1
DIMEV 3005,Kitt she wept I asked why so,"For a later sequel, cf. Collier (1853) XCollier, John Payne. Extracts from Registers of the Stationers’ Company: from 1457 to 1587. London: for the Shakespeare Society, 1853, 1.55; Tilley (1950) XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950 K 109. Formerly indexed at same location by burden.","carols, amorous;songs, erotic",carols;songs,— four-line — abab,An erotic carol — five quatrains and ten-line burden: ‘Kytt hathe lost hur key hur key / Goode Kytt hath lost hure key / She ys soo sory for the cause / She wottes nott what to say / She ys soo sory fore the cause / She wott not what to say to say / Goode Kytt good Kytt / She ys soo sory for the cause / She wot not [what] to say to say / Good Kytt’,,,,,,Text,1
DIMEV 3044,Led I the dance a midsummer day,,"carols, amorous;women, as speakers/narrators",carols;women,— five-line — aaaab,"Jack and the Dancing Maid, an erotic carol — nine 5-line stanzas (aaaab) and burden: ‘Alas ales the wyle / Thout Y on no gyle / So haue Y god chaunce / Alas ales the wyle / That euer Y cowde daunce’",,,,Jack and the Dancing Maid,,Text,1
DIMEV 3059,Let no man come into this hall,,"Christmastide;carols, Nativity",Christmastide;carols,— four-line — aaab,A carol of Christmas sports — three quatrains (aaab) and burden: ‘Make we mery bothe more & lasse / ffor now ys þe tyme of crystymas’,,,,,,Text,1
DIMEV 3081,Lift up your hearts and be glad / In Christs birth the angel bade,,"carols, New Year",carols,— four-line — aaab,A New Year song of Good Cheer — four quatrains (aaab) and burden: ‘What cher gud cher gud cher / Be mery & glad this gud new yere’,,,,,,Text,1
DIMEV 3095,Listen lordings what I shall say,,"Katherine of Alexandria, saint;carols, of saints",Katherine of Alexandria;carols,— four-line — aaab,A song in honour of St. Katherine — five quatrains (aaab) with ‘Salue Caterina’ refrain and burden: A a a a / Salue Caterri[n]a,,,,,,Text,1
DIMEV 3113,Listeneth lordings both great and small,,"Thomas of Canterbury, saint;carols, of saints",Thomas of Canterbury;carols,— four-line — aaab,Song in honour of St. Thomas of Canterbury — in quatrains (aaab) with Latin caudae and burden: A a a a / Nu[nc] gaudet ecclesia,Latin,,,,,Text,4
DIMEV 3114,Listeneth lordings both elde and young,For a variant see 3128,"carols, to Virgin Mary",carols,— four-line — aaab,A carol of the Nativity — seven quatrains (aaab) and burden: ‘Of a rose a louely rose / Of a rose is al myn song’,,,,,,Text,1
DIMEV 3117,Listeneth lordings I you beseek,,"carols, convivial",carols,— four-line — aaab,The Braggart and his Baselard — eight quatrains (aaab) and burden: ‘Prenegard prenegard / þus bere I myn baselard’,,,,The Braggart and his Baselard,,Text,1
DIMEV 3128,Lithe and listen both old and young,For a variant see 3114,"carols, to Virgin Mary",carols,— four-line — aaab,A carol of the Nativity — seven quatrains (aaab) and burden: ‘Of a rose a louely rose / Of a rose I syng a song’,,,,,,Text,2
DIMEV 3156,Lo Moses bush shining unbrent,,"carols, of Virgin Mary;Virgin Mary, types of",carols;Virgin Mary,— four-line — aaab,"Types of the Virgin Mary: Burning bush, Gideon’s fleece, Aaron’s rod, Star of Jacob — a song of five quatrains (aaab) and 3-line burden: ‘Hayl godys sone in trinite / Te secund in diuinite / Thy moder is a may’",,,,,,Text,1
DIMEV 3172,Look ere thine heart be set / Look thou woo ere thou be knit,,"marriage;carols, of marriage",marriage;carols,— four-line — aaab,A song against marrying unadvisedly — four quatrains (aaab) and burden: ‘Man bewar of thin wowyng / For weddyng is the longe wo’,,,,,,Text,1
DIMEV 3257,Lords and ladies all bedene,,"carols, Annunciation",carols,— four-line — abab,‘A new caroll of our lady’ — eight quatrains (abab) and 2-line burden: ‘Nowell nowell nowell nowell / This sayd the aungell gabryell’,,,,,,Text,0
DIMEV 3277,Love is natural to every wight,,"carols, amorous",carols,— five-line — ababc,One mistress is best — three 5-line stanzas (ababc) with 4-line burden: ‘Smale pathis to the grenewode / Will I loue & shall I loue / Will I loue & shall I loue / No mo maydyns but one’,,,,,,Text,1
DIMEV 3301,Lullay lullay little child,Cf. 3300.,"carols, lullaby",carols,— four-line — aaab,Christ weeps in the cradle for man’s sin — seven quatrains (aaab) and burden: ‘Lullay lullay litel child / qwi wepest þou so sore’,,,,,,Text,2
DIMEV 3326,Maiden and mother come and see / Thy child is nailed to a tree,"For later versions, in stanzas, see 2029, 3424 and 5653.","carols, of the Passion;Virgin Mary, dialogue, with Christ;dialogues, Virgin and Christ",carols;Virgin Mary;dialogues,— two-line — aa,A dialogue between the Virgin Mary and her son — eighteen couplets in John Grimestone’s sermon notebook,,,,,,Text,1
DIMEV 3332,Make we merry in hall and bower,,"carols, New Year;Circumcision, feast of",carols;Circumcision,— four-line — abab,A carol on the Circumcision — six quatrains (abab) with Latin caudae and burden: ‘To encrease our joy and blysse / Christus natus est nobis’,Latin,,,,,Text,0
DIMEV 3335,Man and woman in every place,,"carols, of religious counsel",carols,— four-line — aaab,"‘Thank God that al hath sent’ — five quatrains (aaab) with this refrain, and burden: ‘Lefte owr hertes wiþ good entent / & thanke [g]od þat al hath sen’",,,,‘Thank God that al hath sent’,,Text,1
DIMEV 3338,Man be merry I thee rede,,"carols, Nativity",carols,— four-line — abab,A Nativity carol — three quatrains (abab) and 4-line burden: ‘Man be joyfull & myrth þou make / For crist ys made man for thy sake’ (repeated),,,,,,Text,1
DIMEV 3344,Man beware the way is slither,See also 3356; the first stanza is almost identical with stanza 4 of 5891.,"warnings;carols, satirical;executors, criticism of;satire",warnings;carols;executors;satire,— four-line — aaab,"Against false executors — four quatrains (aaab) with the refrain: ‘Lytyll ioye ys son done’, and burden: ‘Haue in mynd in mynd in mynd / Secuters be oft onekynd’",,,,,,Text,1
DIMEV 3350,Man have in mind how here before,,"carols, of repentance;mercy, songs of",carols;mercy,— four-line — aaab,"Of Divine Mercy — six quatrains (aaab) + burden (bb): ‘Aske þou mercy whill þou may’, and burden (bb): ‘Man assay assay assay / and aske mercy quyls þat þu may’",,,,,,Text,4
DIMEV 3379,Man that in earth abides here,,"Eucharist, Christ’s presence in;carols, of the Eucharist",Eucharist;carols,— five-line — aaabb,"A song of the Host — three five-line stanzas with refrain ‘Mirabile’, plus burden (bb): ‘Mirabile misterium / In forme of bred ys Godis son’",Latin,,,,,Text,1
DIMEV 3394,Mankind I call which lyeth in frail,"Var. burden in London, British Library Royal Appendix 58, f. 8v; cf. 5066.","Christ, appeal of, to man;carols, of Christ’s pleading",Christ;carols,"— four-line — abcb, internal",Christ’s Call to Mankind — seven 4-line stanzas (abcb) and 6-line burden: ‘Com home agayne / Com home agayne / Min owine swet hart com home agayne / Ye are gone astray / Owt of youer way / There[fore] com h[o]me agayne’,,,,,,Text,1
DIMEV 3395,Mankind was shent and ay forlore,,"carols, Nativity",carols,— four-line — aaab,"A song of the Nativity, by James Ryman — six quatrains (aaab) with ‘In clennes and in charite’ refrain and burden: ‘To criste singe we singe we singe we / In clennes and in charite’",,James Ryman,,,,Text,1
DIMEV 3400,Many a man blames his wife pardie,,"carols, of marriage;marriage",carols;marriage,— four-line — aaab,"Women will have their word — fourteen quatrains (aaab) including refrain, ‘In villa’ plus burden (b): ‘In villa In villa quid vidistis in villa’",,,,,,Text,3
DIMEV 3412,Mary flower of flowers all,,"carols, Nativity",carols,— four-line — aaab,"A Christmas carol — seven quatrains (aaab) including refrain, ‘Puer natus est nobis’, plus burden: ‘Now syng we wyth joy and blys / Puer natus est nobis’",Latin,,,,,Text,1
DIMEV 3413,Mary for the love of thee / Glad and merry shall we be,,"Virgin Mary, joys of;carols, to Virgin Mary",Virgin Mary;carols,— four-line — aaab,On the Five Joys — seven quatrains (aaab) and burden: ‘A a a a / Gaude celi domina’,Latin,,,,,Text,3
DIMEV 3418,Mary is a lady bright / She hath a son of much might,,"carols, to Virgin Mary",carols,— four-line — aaab,Carol on the Virgin — five quatrains (aaab) with Latin caudae and burden: A a a a / Nu[nc] gaudet maria,Latin,,,,,Text,1
DIMEV 3422,Mary mild hath born a child / christ lieth in cradle bound,,carols,carols,— four-line — abcb,"A carol of the Feasts following Christmas — in quatrains (abcb), and burden: ‘Now this yol &c.’",,,,,,Text,1
DIMEV 3424,Mary mother come and see / Thy son is nailed on a tree,"For an earlier version in couplets see 3326; for later stanzaic versions see 2029 and 5653, where this incipit serves as the burden.","carols, of the Passion;Passion;dialogues, Virgin and Christ",carols;Passion;dialogues,"— four-line — aabb, aaaa","Song of the Passion — seven quatrains (aabb, aaaa) and burden: ‘Nowel el…’",Latin,,,,,Text,2
DIMEV 3427,Mary mother meek and mild,,"Virgin Mary, joys of;carols, Annunciation",Virgin Mary;carols,— four-line — aaab,A macaronic song of the Five Joys — five quatrains (aaab) with Latin caudae and ‘Nowel’ burden: ‘Nowel el el el el el el el el el el / Mary was gret with gabriel’,Latin,,,,,Text,1
DIMEV 3436,Mary so mild and good of fame,,"hymns to Virgin Mary;carols, Nativity",Virgin Mary;carols,— four-line — abab,A hymn to the Virgin Mary by James Ryman — seven quatrains (abab) and burden (cc): ‘Mary so myelde of hert & myende / Hath borne a child to save mankyende’,,James Ryman,,,,Text,1
DIMEV 3487,Merry singen the monks binnen Ely,,"carols, early;songs;monks",carols;songs;monks,— two-line — aa,"The Canute Song, quoted by Thomas of Ely — two couplets",,,,The Canute Song,,Text,3
DIMEV 3500,Mind reason virtue and grace,,"carols, of religious counsel;Holy Ghost, gifts of",carols;Holy Ghost,— five-line — ababc,"A song of the Seven Gifts of the Holy Ghost, by Audelay — six 5-line stanzas (ababc) with ‘Ellis were we lost’ refrain and burden: ‘God haþ ȝeuen of myȝtis most / The vii ȝiftis of the hole gost’",,John Audelay,,,,Text,1
DIMEV 3516,Mine own dear lady fair and free / I pray you in heart…,,"lover’s pleas;carols, amorous",lover’s pleas;carols,— four-line — aaab,A Lover’s Plea — three quatrains (aaab) and burden: ‘Thei Y singe & murthes make / It is not Y wolde’,,,,,,Text,1
DIMEV 3562,Most sovereign Lord Christ Jesu,,"carols, to Christ;hymns, to Christ",carols;hymns,— five-line — aaabb,‘Miserere nobis’: a carol to Christ — five 5-line stanzas (aaabb) with ‘Miserere nobis‘ refrain and burden: ‘Jesu christe fili dei viui mise[rere no]bis / Alleluya’,Latin,,,,,Text,0
DIMEV 3586,My darling dear my daisy flower,,"carols, amorous",carols,— seven-line — ababbcc,"The lover deceived, by John Skelton — four stanzas rime royal with couplet heading: ‘With lullay lullay like a childe / Thou slepest too long thou art begiled.’ (Utley (1944) XUtley, Francis Lee. The Crooked Rib. Ohio State Contributions in Language and Literature 10. Columbus, OH: Ohio State UP, 1944, 192; Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 1154).",,John Skelton,,,,Text,0
DIMEV 3620,My lady went to Canterbury,"Cf. Ravenscroft (1609) XRavenscroft, Thomas. Pammelia Mysicks Miscellanie. London: Barley, 1609.","nonsense;carols, humorous",nonsense;carols,— four-line — abab,A nonsense carol — eight quatrains (abab) and 4-line burden: ‘My harte of golde as true as stele / As I me lened to a bough / In fayth but yf ye loue me well / Lorde so robyn lough’,,,,,,Text,0
DIMEV 3653,My sovereign lord for my poor sake,"See Greene (1977) XGreene, Richard Leighton. The Early English Carols. Oxford: Clarendon, 1935; 2nd ed., rev., Oxford: Clarendon, 1977 (see also Greene (1935) XGreene, Richard Leighton. The Early English Carols. Oxford: Clarendon, 1935; 2nd ed., rev., Oxford: Clarendon, 1977), 487; see Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 1070.","tournaments;Henry VIII;carols, amorous;women, as speakers/narrators;Catherine of Aragon",tournaments;Henry VIII;carols;women;Catherine of Aragon,— six-line — aaabbc,"William Cornish, A lady (probably Catherine of Aragon) rejoices at her lover in a chivalric tournament, probably with reference to Henry VIII — six 6-line stanzas (aaabbc) with burden: ‘Whilles lyue or breth is in my brest / My souerayne lord I shall loue best’",,William Cornish,,,,Text,1
DIMEV 3671,My years be young even as ye see,,"carols, amorous;women, as speakers/narrators",carols;women,— five-line — aaaab,"A girl’s expression of love by Thomas Wyatt — six 5-line stanzas (aaaab) including refrain: ‘Yf yt ware not’, and 2-line burden: ‘Grudge on who liste this ys my lott / Nothing to want if it ware not’",,Thomas Wyatt,,,,Text,1
DIMEV 3732,Now for to sing I hold it best,,"carols, Nativity",carols,— four-line — abab,"James Ryman, a Christmas carol — six quatrains (abab) and burden: ‘Nowe lete us syng and mery be / ffor crist oure kyng haþe made us fre’",,James Ryman,,,,Text,1
DIMEV 3738,Now God almighty down hath sent,,"carols, Nativity",carols,— four-line — aaaa,"A Christmas carol — three monorhyming quatrains plus 7-line burden (aabbccb, of which apparently only last five lines repeated after the quatrains): ‘Now make we merthe al & sum / ffor cristemesse now is i-com / þat hath no pere / Syng we alle in fere / Now ioye & blysse / þei xul not mysse / þat makyth good chere’",,,,,,Text,1
DIMEV 3761,Now in Bethlehem that holy place,,"carols, Nativity",carols,— four-line — aaab + bb,"James Ryman, ‘Saluator mundi natus est’ — nine quatrains (aaab) including refrain, ‘Saluator mundi natus est’, plus burden: ‘Be we mery now in this fest / In quo saluator natus est’",Latin,James Ryman,,,,Text,1
DIMEV 3763,Now is Christmas I-come,For a closely related version see 3769.,"carols, Epiphany",carols,— five-line stanzas — aaabb,"An Epiphany carol — twelve 5-line stanzas (aaabb, lacks burden)",,,,,,Text,1
DIMEV 3764,Now is come our Savior / And now hathe Mary borne,,"carols, Nativity season",carols,— four-line — aaabcccb,Carol for the Festivals following Christmas — six quatrains (aaab) and burden: ‘Welcum welcum welcum / Christe redemptor omneum’,Latin,,,,,Text,1
DIMEV 3769,Now is the twelfth day I-come,For a closely-related version see 3763.,"carols, Epiphany;five-line",carols;five-line,— aaabb,"An Epiphany carol — seventeen 5-line stanzas (aaabb), and burden: ‘Reges de saba venient / Aurum tus myrram offerent’",Latin,,,,,Text,3
DIMEV 3773,Now is Yule comen with gentle cheer,,"carols, Nativity",carols,— four-line — aaab,"A Christmas carol — five quatrains (aaab, same rhymes throughout) and burden: ‘Hay ay hay ay / Make we mere as we may’",,,,,,Text,1
DIMEV 3776,Now joy be to the Trinity / Father Son and Holy Ghost,,"carols, Nativity",carols,— four-line — abab,A Christmas carol — five quatrains (abab) and burden: ‘Wassaill wassayll wassaill syng we / In worshipe of cristes natiuite’,,,,,"London, British Library Harley 1288, f. 120: this item does not appear in the MS, which has only 105 folios.",Text,1
DIMEV 3795,Now shall you hear a tale for your disport,For a version in 6-line stanzas see 2274.,"gossip;carols, convivial",gossip;carols,— eight-line — aaabcccb,"The Gossips’ Meeting — in eight-line stanzas with refrain, ‘Gode gosyp’, after fourth and eighth",,,,,,Text,2
DIMEV 3796,Now she that I / Loved truly…,,"carols, convivial",carols,— four-line — aabccbddeffe,Three quatrains with refrain ‘…a way morning away / I am forsake / Another ys take / no lenger…’,,,,,,Text,0
DIMEV 3807,Now this time rex pacificus,,"carols, Epiphany",carols,— four-line — aaab,"James Ryman, an Epiphany carol — six quatrains (aaab), including refrain, ‘The sonne of god & king of blis’, plus burden: ‘Of a mayden to vs borne is / the sonne of god and king of blis’",Latin,James Ryman,,,,Text,1
DIMEV 3817,Now well may me mirths make,,"carols, Nativity",carols,— four-line — aaab,A macaronic Christmas carol — five quatrains (aaab) with Latin caudae and burden (b): Letabundus exultet fidelys chorus Alleluia,Latin,,,,,Text,3
DIMEV 3825,Nowell ell both elde and young,,"carols, Nativity",carols,— four-line — aaab,A Christmas carol — eight quatrains (aaab) and ‘Nowel el’ burden,,,,,,Text,1
DIMEV 3835,O blessed God in Trinity,,"carols, Nativity",carols,— five-line stanzas — ababc,"‘Te Deum Laudamus’, a Christmas carol — three 5-line stanzas (ababc) with this refrain and 3-line burden: ‘T[e deum] laudamus / Te dominum confitemur / Te eternum’",,,,,,Text,1
DIMEV 3839,O blessed John the Evangelist,,"John the Evangelist, saint;carols, to saints",John the Evangelist;carols,— four-line — aaab,A carol to St. John — five quatrains (aaab) and 2-line burden: ‘Pray for vs to god on hye / Blyssed saynt johan and our lady’,,,,,,Text,0
DIMEV 3852,O blissful bird full of grace,,"Virgin Mary, prayers to;carols, to Virgin Mary",Virgin Mary;carols,— four-line — aaab,‘Salue regina / mater misericordie’ — six quatrains with Salue refrain and this burden,Latin,,,,,Text,1
DIMEV 3980,O man of mould,For a variant see 469.,"carols, Annunciation",carols,— four-line — abab,"James Ryman, a song of the Annunciation — seven 4-line stanzas (abab) and 4-line burden: ‘A meyden mylde hath born a chylde / Mankynde ayene to by / Hys name ihesu ys callyd thus / And here name mylde mary’",,James Ryman,,,,Text,1
DIMEV 3990,O merciful God maker of all mankind,,"epitaphs;carols, of mortality",epitaphs;carols,— six-line — aabaab,An epitaph — two 6-line stanzas (aabaab) and burden (cc): ‘To dy to dy what haue I / offendit þat deth is so hasty’,,,,,,Text,1
DIMEV 4007,O most famous noble king thy fame doth spring and spread,,"Henry VII;Garter, Order of;occasional verse;carols, political;political poems",Henry VII;Garter;occasional verse;carols;political poems,— seven-line — ababbcc,"John Skelton[?]. Verses presented to Henry VII (in 1488) by Skelton — five stanzas rhyme royal including refrain, ‘To see thy king so flowring in dignytie’ with burden: ‘England, now rejoysse, for joyous may thou bee / To see thy king so flowring in dignytie’",,John Skelton,uncertain,,,Text,2
DIMEV 4011,O my dear Son why dost Thou so,,"dialogues, Virgin and Christ;Virgin Mary, dialogue, with Christ;carols, of the Passion",dialogues;Virgin Mary;carols,— seven-line — ababbcc,"James Ryman, dialogue between the Virgin Mary and her Son on the Cross — eight stanzas rhyme royal and burden: ‘O synfull man behold & se / What thy maker hath done for the’",,James Ryman,,,,Text,1
DIMEV 4018,O of Jesse thou holy root,,"carols, Advent",carols,— four-line — abab,Song ‘0 radix Iesse’ — three quatrains and 8-line Latin burden: ‘O radix iesse supplices / Te nos inuocamus / Veni vt nos liberes / Quem iam expectamus’ (repeated),,,,,,Text,1
DIMEV 4020,O orient light shining most bright,,"carols, to Christ;Christ, songs in honour of",carols;Christ,— four-line — aaab,"James Ryman, ‘O criste rex gencium’ — eight quatrains (aaab) and burden (bb): ‘O criste rex gencium / O vita viuencium’",Latin,James Ryman,,‘O criste rex gencium’,,Text,1
DIMEV 4031,O princess of eternal peace,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— seven-line — ababbcc,"James Ryman, A hymn to the Virgin Mary — three stanzas rhyme royal with refrain: ‘Mater misericordie’, and burden: ‘Maria mater gracie / Mater misericordie’",Latin,James Ryman,,,,Text,1
DIMEV 4033,O Queen of bliss thy son Jesu,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — abab,"James Ryman, a hymn to the Virgin Mary — ten quatrains (abab) with alternating refrains, ‘Regina celi letare’ and ‘Quem meruisti portare’, and 2-line burden (bb): ‘Stella celi micaris clare / Regina celi letare’",Latin,James Ryman,,,,Text,1
DIMEV 4034,O Queen of grace and of comfort,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aaab,"James Ryman, a hymn to the Virgin Mary — seven quatrains (aaab) with refrain, ‘O mater ora filium’ and burden: ‘To heuyn blis that we may come / O mater ora filium’",Latin,James Ryman,,,,Text,1
DIMEV 4035,O queen of mercy and of grace,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aaab,"James Ryman, a hymn to the Virgin Mary — twelve quatrains (aaab) with alternating refrains: ‘O clemens o pia’ and ‘O dulcis Maria’, which are joined in the burden",,James Ryman,,,,Text,1
DIMEV 4036,O queen of pity and of grace,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— seven-line — ababbcc,"James Ryman, a hymn to the Virgin Mary — eight stanzas rhyme royal and burden: ‘O quene of pitee moder of grace / In the high citee graunt vs a place’",,James Ryman,,,,Text,1
DIMEV 4049,O sisters two,See 5483.,"carols, of the Innocents;Holy Innocents",carols;Holy Innocents,— six-line — aabccb,"The Coventry Carol — three 6-line stanzas (aabccb) with burden: ‘Lully lulla þow littell tine child / By by lully lullay thow littell tyne child / By by lullay lullay’, occurring in the Coventry Pageant of Shearmen and Tailors",,,,,,Text,1
DIMEV 4055,O spousess most dear most bright most clear,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aabb,"James Ryman, an orison to the Virgin Mary — three quatrains (aabb) with refrain, ‘Ora pro nobis’ and burden (b): ‘Sancta maria ora pro nobis’",Latin,James Ryman,,,,Text,1
DIMEV 4056,O spousess of Christ and paramour,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aaab,"James Ryman, an orison to the Virgin Mary — five quatrains (aaab) with refrain, ‘Ora pro nobis’ and burden: ‘Sancta maria ora pro nobis’",Latin,James Ryman,,,,Text,1
DIMEV 4060,O strong Judith so full of might,"For a variant of stanzas 2, 3, 8, see 3940, stanzas 4-6.","carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — abab,"James Ryman, ‘Mater misericordie’ — eight quatrains (abab) including refrain, ‘Mater misericordie,’ and burden (bb): ‘Salue regina glorie / Mater misericordie’",Latin,James Ryman,,,,Text,1
DIMEV 4063,O sweet Jesu so meek and mild / Fili Marie virginis,,"carols, to Christ;carols, to Christ",carols,— four-line — abab,"James Ryman, ‘Succurre nobis miseris’, a macaronic hymn to Christ — five quatrains (abab) including refrain, ‘Succure nobis miseris’ and burden: ‘Fili marie uirgiinis / Succurre nobis miseris’",Latin,James Ryman,,,,Text,1
DIMEV 4064,O sweet Jesu we knowledge this,,"carols, to Christ;carols, to Christ",carols,— four-line — aaab,"James Ryman, a hymn to Christ — ten quatrains (aaab) with ‘Te deum laudamus’ refrain and burden: ‘Syng we alle þys tyme þus / Te deum laudamus’",Latin,James Ryman,,,,Text,1
DIMEV 4066,O sweet Lady O Virgin pure,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — abab,"James Ryman, ‘Succurre nobis miseris’, an orison to the Virgin Mary — five macaronic quatrains (abab) with this refrain and burden (bb): ‘O mater summi iudicis / Succurre nobis miseris’",Latin,James Ryman,,,,Text,1
DIMEV 4084,O very life of sweetness and hope,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— three-line — aaa,"A prayer to the Virgin Mary, paraphrasing the antiphon, ‘Salve regina’ (Anal. Hymn. L.318-19) — five 3-line stanzas with 2-line burden: ‘Salve regina mater misericordie / Uita dulcedo et spes nostra salue’",,,,,,Text,0
DIMEV 4087,O Virgin chaste both first and last,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aabb,"James Ryman, an orison to the Virgin Mary — three quatrains (aabb) including refrain, ‘Ora pro nobis’ and burden: ‘Sancta maria ora pro nobis’",Latin,James Ryman,,,,Text,1
DIMEV 4099,O worthy Lord and most of might,,"carols, to Christ;carols, to Christ",carols,— four-line — abab,"A macaronic song to Christ — four quatrains (abab) with Latin caudae and burden (bb): ‘Into this world now ys cum / Christe, redemptor omnium’",Latin,,,,,Text,1
DIMEV 4126,Of a maid Christ did not forsake,,"carols, of the Trinity;Trinity, carols to",carols;Trinity,— four-line — aaab,"James Ryman, a song of praise to God — seven quatrains (aaab) with ‘Te deum laudamus’ refrain and burden: ‘Dulciter pangamus / Te deum laudamus’",Latin,James Ryman,,,,Text,1
DIMEV 4147,Of all thy friends She is the flower,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aaab,"A song in praise of the Virgin Mary — six quatrains (aaab) with refrain, ‘Asay, asay’ and burden: ‘Man asay say say / Make thi mone to mary þat mild m[ay]’",,,,,,Text,1
DIMEV 4186,Of Mary a maid without leasing,,"carols, Nativity;Christ, life of",carols;Christ,— four-line — aaab,"James Ryman, A carol listing the events in the life of Christ — seven quatrains (aaab) including Latin refrain and/or burden: ‘Te deum laudamus’",Latin,James Ryman,,,,Text,1
DIMEV 4187,Of Mary Christ was bore,,"carols, Nativity",carols,— four-line — aaab,A Nativity carol — three quatrains (aaab) and 4-line burden: ‘Haue mercy of me kyng of blisse / As muche as thy mercy ys’ (repeated),,Richard Smert,,,,Text,1
DIMEV 4188,Of Mary de…,,carols,carols,,"Fragment of a carol, perhaps on the Annunciation, with notation, and with a refrain beginning, ‘ffarewell lo…’, on a binding fragment",,,,,,Text,1
